Description,Parts Cost,Estimated Hours,Complexity Multiplier,Adjusted Labor Cost,Truck Fee,Roof Access Fee,Total Base Cost,Flat Rate (Non-Contract),Flat Rate (PM Contract)
0130M00082S LOW PRESSURE SWITCH    ,35.67,1.0,1.0,60.0,10,75,180.67,261.97,235.77
0130M00082SP LOW PRESSUSE SWITCH   ,34.76,1.0,1.0,60.0,10,75,179.76,260.65,234.59
0130M00086 LOW PRESSURE SWITCH     ,14.81,1.0,1.0,60.0,10,75,159.81,231.72,208.55
0130M00087 LOW PRESSURE SWITCH     ,21.93,1.0,1.0,60.0,10,75,166.93,242.05,217.84
0130M00087S LOW PRESSURE SWITCH    ,21.41,1.0,1.0,60.0,10,75,166.41,241.29,217.17
0130M00088 LOW PRESSURE SWITCH     ,23.15,1.0,1.0,60.0,10,75,168.15,243.82,219.44
0130M00088S LOW PRESSURE SWITCH    ,14.98,1.0,1.0,60.0,10,75,159.98,231.97,208.77
0130M00088SP PRESSURE SWITCH LOW   ,17.13,1.0,1.0,60.0,10,75,162.13,235.09,211.58
0130M00089 HI PRESSURE SWITCH      ,17.69,1.0,1.0,60.0,10,75,162.69,235.9,212.31
0130M00089S HI PRESSURE SWITCH     ,33.94,1.0,1.0,60.0,10,75,178.94,259.46,233.52
0130M00089SP PRESSURE SWITCH HI    ,41.02,1.0,1.0,60.0,10,75,186.02,269.73,242.76
0130M00096 RELAY                   ,19.59,1.0,1.0,60.0,10,75,164.59,238.66,214.79
0130M00129 RELAY                   ,32.39,1.0,1.0,60.0,10,75,177.39,257.22,231.49
0130M00141 INDUCTOR                ,47.76,1.0,1.0,60.0,10,75,192.76,279.5,251.55
0130M00146 TRANSFORMER             ,65.08,1.0,1.0,60.0,10,75,210.08,304.62,274.15
0130M00171S MEMORY CARD            ,10.72,1.0,1.0,60.0,10,75,155.72,225.79,203.21
0130M00172S MEMORY CARD            ,10.72,1.0,1.0,60.0,10,75,155.72,225.79,203.21
0130M00173S MEMORY CARD            ,10.72,1.0,1.0,60.0,10,75,155.72,225.79,203.21
0130M00174S MEMORY CARD            ,17.8,1.0,1.0,60.0,10,75,162.8,236.06,212.45
0130M00176S MEMORY CARD            ,17.8,1.0,1.0,60.0,10,75,162.8,236.06,212.45
0130M00177S MEMORY CARD            ,17.8,1.0,1.0,60.0,10,75,162.8,236.06,212.45
0130M00187 TRANSFORMER             ,35.05,1.0,1.0,60.0,10,75,180.05,261.07,234.97
0130M00199 CRANK CASE HTR SWITCH   ,10.94,1.0,1.0,60.0,10,75,155.94,226.11,203.5
0130M00228 THERMISTER AIR          ,7.65,1.0,1.0,60.0,10,75,152.65,221.34,199.21
0130M00242 RELAY                   ,27.54,1.0,1.0,60.0,10,75,172.54,250.18,225.16
0130M00243 INTERLOCK SWITCH        ,2.09,1.0,1.0,60.0,10,75,147.09,213.28,191.95
0130M00260S MEMORY CARD            ,20.25,1.0,1.0,60.0,10,75,165.25,239.61,215.65
0130M00277 FUSE HOLDER             ,9.35,1.0,1.0,60.0,10,75,154.35,223.81,201.43
0130M00485 7 PIN CONNECTOR         ,13.78,1.0,1.0,60.0,10,75,158.78,230.23,207.21
0130M00505 RELAY                   ,23.46,1.0,1.0,60.0,10,75,168.46,244.27,219.84
0130M00908 DPDT RELAY 24VA         ,18.09,1.0,1.0,60.0,10,75,163.09,236.48,212.83
0130M20002S HI-PRESS SWITCH R-32   ,15.04,1.0,1.0,60.0,10,75,160.04,232.06,208.85
0130P00074 AMBIENT THERMISTOR      ,12.46,1.0,1.0,60.0,10,75,157.46,228.32,205.49
0130P00086 THERMISTOR-INDOR COIL   ,7.67,3.0,1.2,216.0,10,75,308.67,447.57,402.81
0130R00000S LOSS OF CHAR SER KIT   ,84.48,1.0,1.0,60.0,10,75,229.48,332.75,299.47
0130R00002 CUT-OUT SW LOW PRESS    ,25.85,1.0,1.0,60.0,10,75,170.85,247.73,222.96
0130R00003 CUT-OUT SW HIGH PRESS   ,19.87,1.0,1.0,60.0,10,75,164.87,239.06,215.16
0130R00003S CUT-OUT SW HIGH        ,14.65,1.0,1.0,60.0,10,75,159.65,231.49,208.34
0130R00003SP SWITCH HI PRESS CUT   ,51.96,1.0,1.0,60.0,10,75,196.96,285.59,257.03
0130R00007S MEMORY CARDS           ,27.48,1.0,1.0,60.0,10,75,172.48,250.1,225.09
0130R00009S MEMORY CARDS           ,27.48,1.0,1.0,60.0,10,75,172.48,250.1,225.09
0130R00010S MEMORY CARDS           ,27.48,1.0,1.0,60.0,10,75,172.48,250.1,225.09
0130R00012S MEMORY CARDS           ,27.48,1.0,1.0,60.0,10,75,172.48,250.1,225.09
0130R00013S MEMORY CHIP            ,27.48,1.0,1.0,60.0,10,75,172.48,250.1,225.09
0130R00014S MEMORY CARDS           ,25.9,1.0,1.0,60.0,10,75,170.9,247.8,223.02
0130R00016S MEMORY CARDS           ,27.48,1.0,1.0,60.0,10,75,172.48,250.1,225.09
0130R00017S MEMORY CARDS           ,27.48,1.0,1.0,60.0,10,75,172.48,250.1,225.09
0130R00018S MEMORY CARDS           ,27.48,1.0,1.0,60.0,10,75,172.48,250.1,225.09
0130R00019S MEMORY CARDS           ,27.48,1.0,1.0,60.0,10,75,172.48,250.1,225.09
0130R00038S MEMORY CARDS           ,27.48,1.0,1.0,60.0,10,75,172.48,250.1,225.09
0130R00039S MEMORY CARDS           ,27.48,1.0,1.0,60.0,10,75,172.48,250.1,225.09
0130R00040S MEMORY CARDS           ,27.48,1.0,1.0,60.0,10,75,172.48,250.1,225.09
0130R00044S MEMORY CARDS           ,27.48,1.0,1.0,60.0,10,75,172.48,250.1,225.09
0130R00058 LOW PRESSURE SWITCH     ,12.06,1.0,1.0,60.0,10,75,157.06,227.74,204.96
0130R00058SP PRESSURE SWITCH       ,11.24,1.0,1.0,60.0,10,75,156.24,226.55,203.89
0130R00239 HARD START R-32         ,11.76,1.0,1.0,60.0,10,75,156.76,227.3,204.57
013100138S TRANSFORMER             ,23.0,1.0,1.0,60.0,10,75,168.0,243.6,219.24
0131F00002PS MOTOR 3/4HP V/S       ,715.93,2.5,1.3,195.0,10,75,995.93,1444.1,1299.69
0131F00020S  MOTOR 1/3HP           ,121.68,2.5,1.3,195.0,10,75,401.68,582.44,524.19
0131F00022 MOTOR                   ,168.1,2.5,1.3,195.0,10,75,448.1,649.74,584.77
0131F00032S BLOWER MOTOR           ,309.98,2.5,1.3,195.0,10,75,589.98,855.47,769.92
0131F00033S BLOWER MOTOR           ,315.92,2.5,1.3,195.0,10,75,595.92,864.08,777.68
0131F00040S BLOWER MOTOR           ,389.39,2.5,1.3,195.0,10,75,669.39,970.62,873.55
0131F00117S BLOWER MOTOR FER       ,257.69,2.5,1.3,195.0,10,75,537.69,779.65,701.69
0131F00119S BLOWER MOTOR FER       ,336.97,2.5,1.3,195.0,10,75,616.97,894.61,805.15
0131F00120 BLOWER MOTOR FER        ,274.97,2.5,1.3,195.0,10,75,554.97,804.71,724.24
0131F00121 BLOWER MOTOR FER        ,274.97,2.5,1.3,195.0,10,75,554.97,804.71,724.24
0131F00129S MOTOR PROGRAMMED SRV   ,310.13,2.5,1.3,195.0,10,75,590.13,855.69,770.12
0131F00130S BLOWER MOTOR FER       ,234.37,2.5,1.3,195.0,10,75,514.37,745.84,671.25
0131F00133S BLOWER MOTOR FER       ,301.11,2.5,1.3,195.0,10,75,581.11,842.61,758.35
0131F00134S BLOWER MOTOR FER       ,301.11,2.5,1.3,195.0,10,75,581.11,842.61,758.35
0131F00138  BLOWER MOTOR FER       ,302.33,2.5,1.3,195.0,10,75,582.33,844.38,759.94
0131F00140S BLOWER MOTOR FER       ,270.59,2.5,1.3,195.0,10,75,550.59,798.36,718.52
0131F00143S BLOWER MOTOR FER       ,234.37,2.5,1.3,195.0,10,75,514.37,745.84,671.25
0131F00148S BLOWER MOTOR FER       ,348.54,2.5,1.3,195.0,10,75,628.54,911.38,820.24
0131F00148SC 1HP PRG MOTOR CNTRL   ,197.56,2.5,1.3,195.0,10,75,477.56,692.46,623.22
0131F00150SC MOTOR CONT 1/2HP      ,162.93,2.5,1.3,195.0,10,75,442.93,642.25,578.02
0131F00152S BLOWER MOTOR FER       ,301.11,2.5,1.3,195.0,10,75,581.11,842.61,758.35
0131F00153S MOTOR PROGRAM          ,257.69,2.5,1.3,195.0,10,75,537.69,779.65,701.69
0131G00000PS ID SERVICE BLOWER     ,184.21,1.0,1.0,60.0,10,75,329.21,477.35,429.62
0131G00007S  INDUCER MOTOR         ,96.84,2.5,1.3,195.0,10,75,376.84,546.42,491.78
0131G00047S MOTOR                  ,327.05,2.5,1.3,195.0,10,75,607.05,880.22,792.2
0131G00048S MOTOR                  ,323.96,2.5,1.3,195.0,10,75,603.96,875.74,788.17
0131G00065S PROGRAMMED MOTOR       ,341.24,2.5,1.3,195.0,10,75,621.24,900.8,810.72
0131G00071S PROGRAM MOTOR          ,748.72,2.5,1.3,195.0,10,75,1028.72,1491.64,1342.48
0131M00001S VENT MTR  W/SIDE TAP   ,76.83,1.0,1.0,60.0,10,75,221.83,321.65,289.49
0131M00003PS VENT MOTOR            ,154.78,2.5,1.3,195.0,10,75,434.78,630.43,567.39
0131M00007PS MOTOR 1/4HP M2        ,176.72,2.5,1.3,195.0,10,75,456.72,662.24,596.02
0131M00008PS  COND MOTOR           ,183.86,2.5,1.3,195.0,10,75,463.86,672.6,605.34
0131M00010PS MOTOR                 ,228.9,2.5,1.3,195.0,10,75,508.9,737.9,664.11
0131M00013PS  MOTOR COND 1/6HP     ,197.95,2.5,1.3,195.0,10,75,477.95,693.03,623.72
0131M00019PS MOTOR COND            ,176.14,2.5,1.3,195.0,10,75,456.14,661.4,595.26
0131M00047S INDUCED DRAFT MOTOR    ,248.78,2.5,1.3,195.0,10,75,528.78,766.73,690.06
0131M00105S X-13 MOTOR             ,599.52,2.5,1.3,195.0,10,75,879.52,1275.3,1147.77
0131M00107S  MOTOR                 ,481.84,2.5,1.3,195.0,10,75,761.84,1104.67,994.2
0131M00109S MOTOR                  ,438.77,2.5,1.3,195.0,10,75,718.77,1042.22,937.99
0131M00111S BLOWER MOTOR           ,555.12,2.5,1.3,195.0,10,75,835.12,1210.92,1089.83
0131M00117S MOTOR 1/6HP 2SP 8PL    ,142.54,2.5,1.3,195.0,10,75,422.54,612.68,551.41
0131M00118S MOTOR 1/6HP 2SP 8PL    ,126.35,2.5,1.3,195.0,10,75,406.35,589.21,530.29
0131M00119S BLOWER MOTOR           ,370.36,2.5,1.3,195.0,10,75,650.36,943.02,848.72
0131M00121S BLOWER ID COMBUSTION   ,62.53,1.0,1.0,60.0,10,75,207.53,300.92,270.83
0131M00122S BLOWER MOTOR           ,370.36,2.5,1.3,195.0,10,75,650.36,943.02,848.72
0131M00124S MOTOR VAR/SPEED 1/2    ,648.03,2.5,1.3,195.0,10,75,928.03,1345.64,1211.08
0131M00127SP EVAP MTR 1/2HP 1050   ,157.68,1.0,1.0,60.0,10,75,302.68,438.89,395.0
0131M00129S COND MOTOR ECM*DISC*   ,635.32,2.5,1.3,195.0,10,75,915.32,1327.21,1194.49
0131M00131S EVAP MOTOR             ,482.11,2.5,1.3,195.0,10,75,762.11,1105.06,994.55
0131M00133S EVAP MOTOR             ,378.31,2.5,1.3,195.0,10,75,658.31,954.55,859.09
0131M00134S EVAP MOTOR             ,398.48,2.5,1.3,195.0,10,75,678.48,983.8,885.42
0131M00135S EVAP MOTOR             ,398.48,2.5,1.3,195.0,10,75,678.48,983.8,885.42
0131M00136S EVAP MOTOR             ,398.48,2.5,1.3,195.0,10,75,678.48,983.8,885.42
0131M00137S EVAP MOTOR             ,459.13,2.5,1.3,195.0,10,75,739.13,1071.74,964.56
0131M00156S MOTOR 1/2HP V/S        ,443.98,2.5,1.3,195.0,10,75,723.98,1049.77,944.79
0131M00157S MOTOR 3/4HP V/S        ,537.15,2.5,1.3,195.0,10,75,817.15,1184.87,1066.38
0131M00161 BLOWER MOTOR            ,569.42,2.5,1.3,195.0,10,75,849.42,1231.66,1108.49
0131M00169S MOTOR 3/4HP V/S        ,537.15,2.5,1.3,195.0,10,75,817.15,1184.87,1066.38
0131M00182 1/2HP END BELL          ,344.91,1.0,1.0,60.0,10,75,489.91,710.37,639.33
0131M00183 3/4HP END BELL          ,343.52,1.0,1.0,60.0,10,75,488.52,708.35,637.52
0131M00184 1HP END BELL            ,311.89,1.0,1.0,60.0,10,75,456.89,662.49,596.24
0131M00274 MTR 5HP                 ,1183.26,1.0,1.0,60.0,10,75,1328.26,1925.98,1733.38
0131M00276S COND MOTOR 1/8HP 6PL   ,98.54,2.5,1.3,195.0,10,75,378.54,548.88,493.99
0131M00284S BLOWER MOTOR           ,460.33,2.5,1.3,195.0,10,75,740.33,1073.48,966.13
0131M00284S MOTOR 1/2HP PROG       ,453.78,2.5,1.3,195.0,10,75,733.78,1063.98,957.58
0131M00285S BLOWER MOTOR           ,460.33,2.5,1.3,195.0,10,75,740.33,1073.48,966.13
0131M00285S MOTOR 1/2HP PROG       ,436.89,2.5,1.3,195.0,10,75,716.89,1039.49,935.54
0131M00286S BLOWER MOTOR           ,509.39,2.5,1.3,195.0,10,75,789.39,1144.62,1030.15
0131M00286S MOTOR 1HP PROG         ,500.42,2.5,1.3,195.0,10,75,780.42,1131.61,1018.45
0131M00287S BLOWER MOTOR           ,509.39,2.5,1.3,195.0,10,75,789.39,1144.62,1030.15
0131M00287S MOTOR 1HP PROG         ,483.47,2.5,1.3,195.0,10,75,763.47,1107.03,996.33
0131M00288S MOOTR 3/4HP PRG*DISC   ,442.04,1.0,1.0,60.0,10,75,587.04,851.21,766.09
0131M00292S MOTOR 1/2HP PROG       ,361.14,2.5,1.3,195.0,10,75,641.14,929.65,836.69
0131M00294 FAN MOTOR               ,112.02,2.5,1.3,195.0,10,75,392.02,568.43,511.59
0131M00297 3/4HP BLOWER MOTOR      ,203.45,2.5,1.3,195.0,10,75,483.45,701.0,630.9
0131M00298S EVAP MOTOR             ,317.3,2.5,1.3,195.0,10,75,597.3,866.08,779.48
0131M00299S 1/2HP X13 MOTOR        ,317.33,2.5,1.3,195.0,10,75,597.33,866.13,779.52
0131M00382S  PROG MOTOR            ,404.35,2.5,1.3,195.0,10,75,684.35,992.31,893.08
0131M00383S  MOTOR                 ,381.43,2.5,1.3,195.0,10,75,661.43,959.07,863.17
0131M00387S X13 MOTOR              ,334.02,2.5,1.3,195.0,10,75,614.02,890.33,801.3
0131M00394S 3/4HP MOTOR PROGRAM    ,335.82,2.5,1.3,195.0,10,75,615.82,892.94,803.65
0131M00414S EVAP MOTOR             ,359.85,2.5,1.3,195.0,10,75,639.85,927.78,835.0
0131M00414SC 1/2HP PRG MTR CNTRL   ,195.25,1.0,1.0,60.0,10,75,340.25,493.36,444.03
0131M00423S EVAP MOTOR             ,396.84,2.5,1.3,195.0,10,75,676.84,981.42,883.28
0131M00430S COND MOTOR             ,184.37,2.5,1.3,195.0,10,75,464.37,673.34,606.0
0131M00440SC 3/4HP PRG MTR CNTRL   ,150.8,1.0,1.0,60.0,10,75,295.8,428.91,386.02
0131M00441S BLOWER MOTOR           ,379.8,2.5,1.3,195.0,10,75,659.8,956.71,861.04
0131M00461S MOTOR                  ,438.29,2.5,1.3,195.0,10,75,718.29,1041.52,937.37
0131M00476S 3/4 HP MTR PROGRAM     ,342.33,1.0,1.0,60.0,10,75,487.33,706.63,635.97
0131M00481S 3/4HP MOTOR PROGRAM    ,335.82,2.5,1.3,195.0,10,75,615.82,892.94,803.65
0131M00482SP BLOWER MOTOR          ,343.12,2.5,1.3,195.0,10,75,623.12,903.52,813.17
0131M00527S EVAP MOTOR             ,430.26,2.5,1.3,195.0,10,75,710.26,1029.88,926.89
0131M00543S ECM MOTOR              ,353.34,2.5,1.3,195.0,10,75,633.34,918.34,826.51
0131M00546S                        ,374.49,1.0,1.0,60.0,10,75,519.49,753.26,677.93
0131M00549S EVAP MOTOR             ,365.71,2.5,1.3,195.0,10,75,645.71,936.28,842.65
0131M00609 MOTOR 3/4HP PROGRAM     ,337.29,2.5,1.3,195.0,10,75,617.29,895.07,805.56
0131M00611S 3/4 HP  MOTOR          ,358.34,2.5,1.3,195.0,10,75,638.34,925.59,833.03
0131M00619S MOTOR                  ,319.05,2.5,1.3,195.0,10,75,599.05,868.62,781.76
0131M00619SC 1/2HP PRG MTR CNTRL   ,156.15,1.0,1.0,60.0,10,75,301.15,436.67,393.0
0131M00688S PROGRAMMED MOTOR       ,317.46,2.5,1.3,195.0,10,75,597.46,866.32,779.69
0131M00760S BLDC MOTOR 1/4 HP      ,105.09,2.5,1.3,195.0,10,75,385.09,558.38,502.54
0131P00001S MOTOR                  ,190.02,2.5,1.3,195.0,10,75,470.02,681.53,613.38
0131P00002S MOTOR FOR PTAC UNIT    ,193.79,2.5,1.3,195.0,10,75,473.79,687.0,618.3
0131P00003S MOTOR                  ,200.87,2.5,1.3,195.0,10,75,480.87,697.26,627.54
0131P00006 FAN MOTOR INDOOR        ,56.05,0.5,1.0,30.0,10,75,171.05,248.02,223.22
0131P00007SP FAN MOTOR PTH153E35   ,53.53,2.5,1.3,195.0,10,75,333.53,483.62,435.26
0131P00008 PTC OUTDOOR FAN MTR     ,42.83,0.5,1.0,30.0,10,75,157.83,228.85,205.97
0150G00000P BLOWER WHEEL           ,39.44,1.0,1.0,60.0,10,75,184.44,267.44,240.69
0150G00001S FAN BLADE              ,80.2,1.0,1.0,60.0,10,75,225.2,326.54,293.89
0150G00002S SINGLE PACK FAN        ,103.54,1.0,1.0,60.0,10,75,248.54,360.38,324.34
0150G00002SP BLADE                 ,126.15,1.0,1.0,60.0,10,75,271.15,393.17,353.85
0150G00003S FAN BLADE **DISC**     ,116.31,1.0,1.0,60.0,10,75,261.31,378.9,341.01
0150G00003SP FAN BLADE             ,105.75,1.0,1.0,60.0,10,75,250.75,363.59,327.23
0150G00005S FAN BLADE              ,19.66,1.0,1.0,60.0,10,75,164.66,238.76,214.88
0150M00000P/S BLOWER WHEEL         ,32.97,1.0,1.0,60.0,10,75,177.97,258.06,232.25
"0150M00006S 22"" FAN BLADE          ",58.0,1.0,1.0,60.0,10,75,203.0,294.35,264.91
"0150M00006SP 22"" FAN BLADE         ",52.97,1.0,1.0,60.0,10,75,197.97,287.06,258.35
0150M00008S FAN BLADE              ,53.03,1.0,1.0,60.0,10,75,198.03,287.14,258.43
0150M00008SP FAN BLADE             ,57.15,1.0,1.0,60.0,10,75,202.15,293.12,263.81
0150M00010S BLADE                  ,63.59,1.0,1.0,60.0,10,75,208.59,302.46,272.21
0150M00010SP FAN BLADE             ,74.36,1.0,1.0,60.0,10,75,219.36,318.07,286.26
0150M00011S BLADE                  ,128.11,1.0,1.0,60.0,10,75,273.11,396.01,356.41
0150M00012S FAN BLADE              ,51.51,1.0,1.0,60.0,10,75,196.51,284.94,256.45
"0150M00012SP FAN BLADE 20""         ",56.03,1.0,1.0,60.0,10,75,201.03,291.49,262.34
"0150M00013S FAN BLADE 26""          ",77.4,1.0,1.0,60.0,10,75,222.4,322.48,290.23
0150M00016S FAN BLD                ,45.28,1.0,1.0,60.0,10,75,190.28,275.91,248.32
0150M00016SP FAN BLADE             ,47.3,1.0,1.0,60.0,10,75,192.3,278.83,250.95
"0150M00018S 20"" FAN BLADE          ",56.75,1.0,1.0,60.0,10,75,201.75,292.54,263.28
"0150M00022 FAN BLADE 22""           ",18.82,1.0,1.0,60.0,10,75,163.82,237.54,213.79
"0150M00022SP FAN BLADE 22""         ",67.05,1.0,1.0,60.0,10,75,212.05,307.47,276.73
0150M00026 BLOWER WHEEL            ,29.59,1.0,1.0,60.0,10,75,174.59,253.16,227.84
0150M00027 BLOWER WHEEL            ,38.84,1.0,1.0,60.0,10,75,183.84,266.57,239.91
"0150M00029SP 18"" FAN BLADE         ",83.46,1.0,1.0,60.0,10,75,228.46,331.27,298.14
"0150M00031 FAN BLADE 20"" 21DEG     ",21.79,1.0,1.0,60.0,10,75,166.79,241.85,217.66
"0150M00033 FAN BLADE 20"" 24DEG     ",23.44,1.0,1.0,60.0,10,75,168.44,244.24,219.81
"0150M00033SP FAN BLADE 20"" 24DEG   ",33.84,1.0,1.0,60.0,10,75,178.84,259.32,233.39
0150M00035 BLOWER WHEEL            ,50.26,1.0,1.0,60.0,10,75,195.26,283.13,254.81
0150M00036S BLOWER WHEEL           ,36.89,1.0,1.0,60.0,10,75,181.89,263.74,237.37
0150M00037S BLOWER WHEEL           ,55.69,1.0,1.0,60.0,10,75,200.69,291.0,261.9
0150M00042S BLOWER WHEEL 10X10     ,72.11,1.0,1.0,60.0,10,75,217.11,314.81,283.33
0150M00043S BLOWER WHEEL 10X8      ,64.31,1.0,1.0,60.0,10,75,209.31,303.5,273.15
0150M00055S FAN BLADE              ,76.07,1.0,1.0,60.0,10,75,221.07,320.55,288.5
"0150M00066SP FAN BLADE 26""         ",61.52,1.0,1.0,60.0,10,75,206.52,299.45,269.51
0150M00067 CONDENSER FAN BLADE     ,42.93,1.0,1.0,60.0,10,75,187.93,272.5,245.25
0150P00004 BLOWER WHEEL            ,45.21,1.0,1.0,60.0,10,75,190.21,275.8,248.22
0150P00004S BLOWER WHEEL           ,64.87,1.0,1.0,60.0,10,75,209.87,304.31,273.88
0150P00005S BLOWER WHEEL           ,65.25,1.0,1.0,60.0,10,75,210.25,304.86,274.38
0151G00001 TXV VALVE               ,96.12,1.5,1.2,108.0,10,75,289.12,419.22,377.3
0151G00003 TXV VALVE               ,91.83,1.5,1.2,108.0,10,75,284.83,413.0,371.7
0151K00000S GAS PRESS TEST ADAPT   ,12.14,1.0,1.0,60.0,10,75,157.14,227.85,205.07
0151L00000S GAS VALVE CPG90/120    ,209.94,1.5,1.2,108.0,10,75,402.94,584.26,525.84
0151L00004S VALVE TXV 410A         ,168.13,1.5,1.2,108.0,10,75,361.13,523.64,471.27
0151L00008 ACCUMULATOR             ,76.96,1.0,1.0,60.0,10,75,221.96,321.84,289.66
0151L00013 ACCUMULATOR             ,180.95,1.0,1.0,60.0,10,75,325.95,472.63,425.36
0151L00014 ACCUMULATOR             ,187.85,1.0,1.0,60.0,10,75,332.85,482.63,434.37
0151L00015 ACCUMULATOR             ,187.85,1.0,1.0,60.0,10,75,332.85,482.63,434.37
0151M00002 VALVE                   ,115.73,1.5,1.2,108.0,10,75,308.73,447.66,402.89
0151M00003 VALVE                   ,119.54,1.5,1.2,108.0,10,75,312.54,453.18,407.86
0151M00004 TXV VALVE               ,91.22,1.5,1.2,108.0,10,75,284.22,412.12,370.91
0151M00006 TXV VALVE               ,81.79,1.5,1.2,108.0,10,75,274.79,398.45,358.6
0151M00014S GAS VALVE 2/STAGE      ,104.93,1.5,1.2,108.0,10,75,297.93,432.0,388.8
0151M00016 TXV VALVE               ,96.12,1.5,1.2,108.0,10,75,289.12,419.22,377.3
0151M00029 TXV VALVE               ,91.83,1.5,1.2,108.0,10,75,284.83,413.0,371.7
0151M00030 TXV VALVE               ,91.83,1.5,1.2,108.0,10,75,284.83,413.0,371.7
0151M00039 TXV                     ,89.36,1.0,1.0,60.0,10,75,234.36,339.82,305.84
0151M00047 TXV                     ,90.23,1.0,1.0,60.0,10,75,235.23,341.08,306.98
0151M00049 TXV VALVE  *DISC*       ,88.25,1.5,1.2,108.0,10,75,281.25,407.81,367.03
0151M00050 TXV VALVE               ,88.25,1.5,1.2,108.0,10,75,281.25,407.81,367.03
0151M00060 TXV                     ,85.71,1.0,1.0,60.0,10,75,230.71,334.53,301.08
0151M00106 FILTER DRIER BI-FLOW    ,26.03,0.5,1.0,30.0,10,75,141.03,204.49,184.04
0151R00004P ACCUMULATOR 3/4        ,55.97,1.0,1.0,60.0,10,75,200.97,291.41,262.27
0151R00005 COMPENSATOR 16OZ        ,96.08,1.0,1.0,60.0,10,75,241.08,349.57,314.61
0151R00006 COMPENSATOR 3.5OZ       ,51.67,1.0,1.0,60.0,10,75,196.67,285.17,256.65
0151R00009S VALVE *DISC*           ,110.77,1.5,1.2,108.0,10,75,303.77,440.47,396.42
0151R000107 TXV VALVE              ,93.44,1.5,1.2,108.0,10,75,286.44,415.34,373.8
0151R00020S TXV VALVE              ,114.17,1.5,1.2,108.0,10,75,307.17,445.4,400.86
0151R00027  TXV VALVE  *DISC*      ,95.49,1.5,1.2,108.0,10,75,288.49,418.31,376.48
0151R00035S TXV R-410              ,134.72,1.0,1.0,60.0,10,75,279.72,405.59,365.03
0151R00036S TXV R-410              ,126.38,1.0,1.0,60.0,10,75,271.38,393.5,354.15
"0151R00045 3/4"" SERVICE VALVE      ",65.2,1.5,1.2,108.0,10,75,258.2,374.39,336.95
"0151R00046 7/8"" SERVICE VALVE      ",73.62,1.5,1.2,108.0,10,75,266.62,386.6,347.94
0151R00077S LIQUID VALVE           ,25.84,1.5,1.2,108.0,10,75,218.84,317.32,285.59
"0151R00097 3/4"" BALL VALVE         ",67.44,1.5,1.2,108.0,10,75,260.44,377.64,339.87
0151R00101 REVERSING VALVE         ,62.02,1.5,1.2,108.0,10,75,255.02,369.78,332.8
0151R00126 TXV                     ,79.43,1.0,1.0,60.0,10,75,224.43,325.42,292.88
0151R00200 REVERSING VALVE         ,133.03,1.5,1.2,108.0,10,75,326.03,472.74,425.47
0151R00238 COMPENSATOR             ,22.84,1.0,1.0,60.0,10,75,167.84,243.37,219.03
0152G00000S GRILLE                 ,60.17,1.0,1.0,60.0,10,75,205.17,297.5,267.75
"0152R00008  29"" WIRE GRILL TOP     ",40.4,1.0,1.0,60.0,10,75,185.4,268.83,241.95
"0152R00015 29"" WIRE GRILL TOP      ",40.62,1.0,1.0,60.0,10,75,185.62,269.15,242.23
0152R00016 CONDENSER GRILLE TOP    ,52.41,1.0,1.0,60.0,10,75,197.41,286.24,257.62
0154F00000P GASKET                 ,8.13,1.0,1.0,60.0,10,75,153.13,222.04,199.83
0154F00001P  COIL GASKET           ,9.08,3.0,1.2,216.0,10,75,310.08,449.62,404.65
0154F00002P COIL GASKET            ,13.84,3.0,1.2,216.0,10,75,314.84,456.52,410.87
0154F00018 GASKET                  ,12.78,1.0,1.0,60.0,10,75,157.78,228.78,205.9
0154F00038 GASKET                  ,4.6,1.0,1.0,60.0,10,75,149.6,216.92,195.23
0154F00099SP GASKET FRONT          ,6.57,1.0,1.0,60.0,10,75,151.57,219.78,197.8
0154F00104S GASKET FRONT           ,54.27,1.0,1.0,60.0,10,75,199.27,288.94,260.05
0154G00003 ID MOTOR GASKET         ,4.11,2.5,1.3,195.0,10,75,284.11,411.96,370.76
0154L00006 GASKET                  ,1.95,1.0,1.0,60.0,10,75,146.95,213.08,191.77
0154L00009 DRAIN PAN GASKET        ,1.56,1.0,1.0,60.0,10,75,146.56,212.51,191.26
0154L00010 GASKET                  ,4.49,1.0,1.0,60.0,10,75,149.49,216.76,195.08
0159F00002 WIRE HARNESS            ,57.71,1.0,1.0,60.0,10,75,202.71,293.93,264.54
0159F00072 WIRING HARNESS          ,38.38,1.0,1.0,60.0,10,75,183.38,265.9,239.31
0159F00119S CTM MOTOR HARNESS      ,15.4,2.5,1.3,195.0,10,75,295.4,428.33,385.5
0159G00002 COMPRS SCROLL HARNESS   ,14.52,1.0,1.0,60.0,10,75,159.52,231.3,208.17
0159G00003 COMPRESSOR PLUG         ,15.51,2.5,1.4,210.0,10,75,310.51,450.24,405.22
0159G00004 CMPRESSOR SCROLL HARN   ,21.63,1.0,1.0,60.0,10,75,166.63,241.61,217.45
0159G00005S WIRE HARNESS ASSY      ,15.51,1.0,1.0,60.0,10,75,160.51,232.74,209.47
0159G00006 COMPRESSOR CORD         ,12.56,2.5,1.4,210.0,10,75,307.56,445.96,401.37
0159G00014SP PLUG HARNESS          ,15.98,1.0,1.0,60.0,10,75,160.98,233.42,210.08
